Reference,Data.source,Region,Seamounts,Measurement,Phylum,Class,Order,Family,Taxon,Recovery.potential,time.since.TC,Type.n,n.TC,n.TA,n.NT,m.TC,m.TA,m.NT,s.TC,s.TA,s.NT,pre.S.TA,pre.S.NT,S.pooled.TA,S.pooled.NT,d.TA,d.NT,df.TA,df.NT,J.TA,J.NT,g.TA,g.NT,TA.Vd,NT.Vd,TA.Vg,NT.Vg,se.TA,se.NT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alyconacea,,Alcyonacea,Medium,0,number of images,35,32,13,0,0.020833333,0,0,0.11785113,0,0.006623932,0.003623188,0.08138754,0.060192927,-0.255976939,0,65,46,0.988416988,0.983606557,-0.253011956,0,0.060310415,0.105494505,0.058921354,0.10206402,0.475764936,0.626170217,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alyconacea,,Alcyonacea,Medium,5,number of images,330,199,90,0.008912656,0,0.006517036,0.161906436,0,0.069582898,0.016364906,0.020632309,0.127925391,0.143639512,0.069670734,0.016678005,527,418,0.998576175,0.998204668,0.069571535,0.016648062,0.008060017,0.014141745,0.008037081,0.014091013,0.175713544,0.232662919,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alyconacea,,Alcyonacea,Medium,8,number of images,375,234,220,0.029227394,1.324850323,0.041898043,0.285997959,10.43937927,0.319006228,41.88316354,40.29907473,6.471720292,6.348155223,-0.200197609,-0.001995958,607,593,0.998763906,0.998734711,-0.199950146,-0.001993432,0.006973077,0.007212125,0.006955848,0.007193885,0.16346739,0.166240878,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Cnidaria,Anthozoa,Alyconacea,,Alcyonacea,Medium,15,number of images,270,343,347,0.175946381,0.428915864,0.162441493,1.339340039,2.094401572,0.843788297,3.24505708,3.252481215,1.801404197,1.803463672,-0.140429052,0.007488306,611,615,0.998772002,0.998779992,-0.140256606,0.00747917,0.006635241,0.006585594,0.006618955,0.006569534,0.159459637,0.158863222,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,All megafauna,,,,NA,Medium,0,number of images,107,131,52,7.810787932,12.27636511,6.959011802,7.061521634,8.541215378,5.234654723,62.58265306,57.36477498,7.910919862,7.573953722,-0.564482672,0.112461227,236,157,0.996818664,0.995215311,-0.562686863,0.111923135,0.017648795,0.028616336,0.017536681,0.02834315,0.259555219,0.329974311,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,All megafauna,,,,NA,Medium,0,number of images,35,32,13,29.54178005,28.38058036,35.18910256,53.78313358,34.35203655,30.99257217,2075.864622,2445.869881,45.56165737,49.45573659,0.025486336,-0.114189433,65,46,0.988416988,0.983606557,0.025191127,-0.112317475,0.059826276,0.105630331,0.058448366,0.102195429,0.473851498,0.626573188,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,All megafauna,,,,NA,Medium,5,number of images,330,199,90,21.01955287,22.94527096,42.16659723,26.6612823,40.01529699,49.15389903,1045.357568,900.4067533,32.33198985,30.00677846,-0.059560766,-0.704742243,527,418,0.998576175,0.998204668,-0.059475962,-0.703476997,0.008058782,0.014732678,0.008035849,0.014679825,0.175700083,0.237474245,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,All megafauna,,,,NA,Medium,8,number of images,375,234,220,30.02938319,40.71347586,71.05966972,45.69919203,66.11710232,73.41177623,2964.778312,2931.568024,54.44977788,54.14395648,-0.196219215,-0.757799932,607,593,0.998763906,0.998734711,-0.195976669,-0.756841096,0.006971782,0.007694693,0.006954557,0.007675234,0.163452212,0.171712484,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,All megafauna,,,,NA,Medium,10,number of images,196,222,95,9.549011679,8.225724906,5.903712309,12.85877813,8.683312616,6.920814791,117.5631634,136.0916484,10.84265481,11.66583252,0.122044536,0.312476573,416,289,0.998196031,0.997402597,0.121824371,0.311664946,0.009624362,0.015796126,0.009589669,0.015714174,0.19193664,0.245698133,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,All megafauna,,,,NA,Medium,15,number of images,270,343,347,89.68192053,68.57264659,151.4569602,105.3445067,90.12333197,440.9423496,9432.104138,9423.584534,97.11902047,97.0751489,0.217354683,-0.636363069,611,615,0.998772002,0.998779992,0.217087772,-0.635586701,0.00665769,0.006913715,0.006641349,0.006896856,0.159729162,0.162772728,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baco et al. 2019,Supplementary material,Hawaii,Emperor/NWHR,ind/transect (std to mean no. images per transect),All megafauna,,,,NA,Medium,30,number of transects,52,46,NA,1506.31789,584.8687413,NA,2511.754596,829.8731446,NA,3674432.223,#VALUE!,1916.880858,#VALUE!,0.480702358,#VALUE!,96,#VALUE!,0.992167102,#VALUE!,0.476937065,#VALUE!,0.042148853,#VALUE!,0.041491143,#VALUE!,0.399239747,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Amphipoda,,Amphipoda,High,0,number of images,35,32,13,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,46,0.988416988,0.983606557,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Amphipoda,,Amphipoda,High,5,number of images,330,199,90,0.003054741,0.004159872,0,0.055492125,0.058682219,0,0.00321622,0.003156927,0.056711729,0.056186535,-0.01948682,0.054367848,527,418,0.998576175,0.998204668,-0.019459074,0.054270239,0.008055788,0.014144933,0.008032864,0.014094189,0.175667441,0.232689141,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Amphipoda,,Amphipoda,High,8,number of images,375,234,220,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,607,593,0.998763906,0.998734711,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. 2019,Data used for PRIMER analyses obtained from authors,New Zealand,Graveyard,ind/5m2,Arthropoda,Malacostraca,Amphipoda,,Amphipoda,High,15,number of images,270,343,347,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,611,615,0.998772002,0.998779992,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams et al. 2010,Data used for PRIMER analyses obtained from authors,Australia,Tasmanian,ind/m2,Cnidaria,Anthozoa,Actinaria/Ceriantharia,,Anemones,High,0,number of images,107,131,52,0.024606294,0.016807278,0.010834236,0.13459085,0.088769893,0.054699693,0.012476992,0.014790081,0.111700456,0.121614475,0.069820809,0.113243576,236,157,0.996818664,0.995215311,0.069598685,0.112701741,0.016989624,0.028616891,0.016881696,0.0283437,0.25466198,0.329977513,,,,,,,,,,,,,,,,,,,,,,,,,,,
